,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,Notes
Location,Day,Month,Day,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,
Outside,Wednesday,7,4,273,2.57,0,08:34,7.009,22,0,0,0.23,0,16:19,3.68,3,45,273,2.8,25,45,88 degrees out. Pretty gassed.
,Thursday,7,5,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,7,6,524,5.17,0,08:31,7.05,44,0,0,0.07,0,17:52,3.36,1,15,524,5.24,45,15,
,Saturday,7,7,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,7,8,622,6.02,0,07:52,7.63,47,20,0,0.19,0,17:59,3.336,3,25,622,6.21,50,45,Tried really hard to run a 10k. Phenomenal pace
,Monday,7,9,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,7,10,401,3.85,0,08:35,7,33,0,0,0.21,0,16:41,3.6,3,30,401,4.06,36,30,
,Wednesday,7,11,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,7,12,402,4,0,08:40,6.926,34,39,0,0.37,0,18:31,3.24,6,51,402,4.37,41,30,Carly
Outside,Friday,7,13,215,2.02,0,08:40,6.925,17,30,0,0.2,0,19:11,3.13,3,50,215,2.22,21,20,85 outside. Gassed
Outside,Saturday,7,14,430,4.21,0,09:02,6.647,38,0,0,0.14,0,18:28,3.251,2,35,430,4.35,40,35,Both feet hurt around 37th minute
,Sunday,7,15,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Monday,7,16,391,3.87,0,08:55,6.73,34,30,0,0.06,0,16:41,3.6,1,0,391,3.93,35,30,My phone said that it was 86 and that it felt like it was 90 but the sign outside Jake's Pizza said 96! Pretty gassed. Then I played volleyball with Jack Duggan and Daniel Duggan for 90 minutes at WPD. Fun!
,Tuesday,7,17,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Wednesday,7,18,527,5.14,0,08:46,6.853,45,0,0,0.2,0,17:30,3.428,3,30,527,5.34,48,30,82 degrees out
,Thursday,7,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,7,20,561,5.47,0,08:58,6.697,49,0,0,0.22,0,18:57,3.168,4,10,561,5.69,53,10,78 and slightly rainy. Left heel in slight pain but pain picked up during 6th mile. Wanted to run 10k
,Saturday,7,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,7,22,379,3.31,0,08:28,7.092,28,0,0,0.68,0,17:39,3.4,12,0,379,3.99,40,0,Right ankle in pain. Left heel in pain. Overall bad run
,Monday,7,23,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,7,24,641,6.23,0,08:50,6.796,55,0,0,0.28,0,17:52,3.36,5,0,641,6.51,60,0,GASSED. Love you Alexis
,Wednesday,7,25,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,7,26,428,4.11,0,08:46,6.85,36,0,0,0.24,0,19:27,3.085,4,40,428,4.35,40,40,Love you Alexis
Outside,Friday,7,27,429,4.11,0,08:31,7.045,35,0,0,0.25,0,18:41,3.214,4,40,429,4.36,39,40,Love you Alexis
,Saturday,7,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,7,29,529,5.18,0,08:53,6.756,46,0,0,0.18,0,18:04,3.323,3,15,529,5.36,49,15,Love you Alexis
,Monday,7,30,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Played volleyball with Jack Duggan Daniel Duggan yeet
,Tuesday,7,31,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Heel hurts a lot from volleyball
,Wednesday,8,1,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Heel hurts a little from volleyball
Outside,Thursday,8,2,431,4.11,0,08:31,7.045,35,0,0,0.27,0,16:40,3.6,4,30,431,4.38,39,30,
,Friday,8,3,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Saturday,8,4,,,,,,,,0,,,,,,,0,0,0,0,
,Sunday,8,5,,,,,,,,0,,,,,,,0,0,0,0,
,Monday,8,6,,,,,,,,0,,,,,,,0,0,0,0,
,Tuesday,8,7,,,,,,,,0,,,,,,,0,0,0,0,
,Wednesday,8,8,,,,,,,,0,,,,,,,0,0,0,0,
,Thursday,8,9,,,,,,,,0,,,,,,,0,0,0,0,
,Friday,8,10,,,,,,,,0,,,,,,,0,0,0,0,
,Saturday,8,11,,,,,,,,0,,,,,,,0,0,0,0,
,Sunday,8,12,,,,,,,,0,,,,,,,0,0,0,0,
,Monday,8,13,,,,,,,,0,,,,,,,0,0,0,0,
,Tuesday,8,14,,,,,,,,0,,,,,,,0,0,0,0,
,Wednesday,8,15,,,,,,,,0,,,,,,,0,0,0,0,
,Thursday,8,16,,,,,,,,0,,,,,,,0,0,0,0,
,Friday,8,17,,,,,,,,0,,,,,,,0,0,0,0,
,Saturday,8,18,,,,,,,,0,,,,,,,0,0,0,0,
,Sunday,8,19,,,,,,,,0,,,,,,,0,0,0,0,
,Monday,8,20,,,,,,,,0,,,,,,,0,0,0,0,
,Tuesday,8,21,,,,,,,,0,,,,,,,0,0,0,0,
,Wednesday,8,22,,,,,,,,0,,,,,,,0,0,0,0,
,Thursday,8,23,,,,,,,,0,,,,,,,0,0,0,0,
,Friday,8,24,,,,,,,,0,,,,,,,0,0,0,0,
,Saturday,8,25,,,,,,,,0,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,
,Monday,8,27,,,,,,,,,,,,,,,,,,,
,Tuesday,8,28,,,,,,,,,,,,,,,,,,,
,Wednesday,8,29,,,,,,,,,,,,,,,,,,,
,Thursday,8,30,,,,,,,,,,,,,,,,,,,
,Friday,8,31,,,,,,,,,,,,,,,,,,,
,Saturday,9,1,,,,,,,,,,,,,,,,,,,
,Sunday,9,2,,,,,,,,,,,,,,,,,,,
,Monday,9,3,,,,,,,,,,,,,,,,,,,
,Tuesday,9,4,,,,,,,,,,,,,,,,,,,
,Wednesday,9,5,,,,,,,,,,,,,,,,,,,
,Thursday,9,6,,,,,,,,,,,,,,,,,,,
,Friday,9,7,,,,,,,,,,,,,,,,,,,
,Saturday,9,8,,,,,,,,,,,,,,,,,,,
,Sunday,9,9,,,,,,,,,,,,,,,,,,,
,Monday,9,10,,,,,,,,,,,,,,,,,,,
